tconst,primaryTitle,genres,numVotes,averageRating,startYear,SeriesName
tt6461726,A.P. Bio,Comedy,9705,7.3,2018,A.P. Bio (2018)
tt6461736,The Brave,"Action,Drama,Thriller",8334,7.6,2017,The Brave (2017)
tt6461746,Reverie,"Drama,Sci-Fi,Thriller",3492,6.6,2018,Reverie (2018)
tt6461794,9JKL,Comedy,1710,4.9,2017,9JKL (2017)
tt6461812,Deception,"Crime,Drama,Mystery",8064,7.5,2018,Deception (2018)
tt6461824,The Crossing,"Adventure,Drama,Sci-Fi",8850,7.2,2018,The Crossing (2018)
tt6462806,Istanbullu Gelin,"Comedy,Drama,Romance",1626,6.6,2017,Istanbullu Gelin (2017)
tt6464458,Born to Kill,"Drama,Mystery,Thriller",1716,7.2,2017,Born to Kill (2017)
tt6466208,Breathe,"Drama,Thriller",15409,8.3,2018,Breathe (2018)
tt6466948,"Alex, Inc.",Comedy,1873,5.7,2018,"Alex, Inc. (2018)"
tt6466972,The Mayor,Comedy,1521,5.6,2017,The Mayor (2017)
tt6467294,Somewhere Between,"Drama,Mystery,Sci-Fi",4587,6.2,2017,Somewhere Between (2017)
tt6467482,La Mante,"Crime,Drama,Thriller",10746,7.4,2017,La Mante (2017)
tt6468322,Money Heist,"Action,Crime,Mystery",294273,8.3,2017,Money Heist (2017)
tt6470396,Champions,Comedy,3092,6.1,2018,Champions (2018)
tt6470478,The Good Doctor,Drama,62137,8.2,2017,The Good Doctor (2017)
tt6472710,"As the Moon, So Beautiful","Animation,Drama,Romance",1171,7.8,2017,"As the Moon, So Beautiful (2017)"
tt6473300,Mirzapur,"Action,Crime,Drama",50263,8.4,2018,Mirzapur (2018)
tt6473344,SEAL Team,"Action,Drama,War",15961,7.5,2017,SEAL Team (2017)
tt6474174,Kevin (Probably) Saves the World,"Comedy,Drama,Fantasy",4191,7.8,2017,Kevin (Probably) Saves the World (2017)
tt6474236,The Looming Tower,"Drama,History",10821,8,2018,The Looming Tower (2018)
tt6474378,Good Girls,"Comedy,Crime,Drama",31397,7.8,2018,Good Girls (2018)
tt6477194,"Me, Myself and I",Comedy,2349,7.2,2017,"Me, Myself and I (2017)"
tt6478318,Masum,"Crime,Drama,Mystery",15203,8.5,2017,Masum (2017)
tt6483832,The Resident,Drama,18406,7.6,2018,The Resident (2018)
tt6483836,Gone,"Crime,Drama",1653,7.2,2017,Gone (2017)
tt6484002,LA to Vegas,Comedy,4517,7.1,2018,LA to Vegas (2018)
tt6487416,Rise,Drama,4297,6.3,2018,Rise (2018)
tt6487482,Insatiable,"Comedy,Drama,Thriller",22399,6.5,2018,Insatiable (2018)
tt6488862,"Three Lives Three Worlds, Ten Miles of Peach Blossom","Drama,Fantasy,Romance",1664,8.3,2017,"Three Lives Three Worlds, Ten Miles of Peach Blossom (2017)"
tt6492236,Splitting Up Together,Comedy,3385,6.9,2018,Splitting Up Together (2018)
tt6494622,Made in Heaven,"Drama,Romance",8489,8.3,2019,Made in Heaven (2019)
tt6495756,Ingobernable,"Crime,Drama,Mystery",2638,7.2,2017,Ingobernable (2017)
tt6495880,Paula,"Drama,Thriller",1262,6.3,2017,Paula (2017)
tt6503244,Valor,Drama,2859,6,2017,Valor (2017)
tt6510950,Condor,"Action,Drama,Thriller",10679,7.7,2018,Condor (2018)
tt6516076,Chicago Typewriter,"Drama,Fantasy,Romance",1085,8.3,2017,Chicago Typewriter (2017)
tt6517102,Castlevania,"Action,Adventure,Animation",38370,8.2,2017,Castlevania (2017)
tt6517320,Too Old to Die Young,"Crime,Drama,Thriller",6914,7.4,2019,Too Old to Die Young (2019)
tt6519410,Black Spot,"Crime,Drama,Horror",7537,7.5,2017,Black Spot (2017)
tt6520930,Blinded by the Lights,"Crime,Drama",2326,7.8,2018,Blinded by the Lights (2018)
tt6522580,Little Things,"Comedy,Romance",4287,8.2,2016,Little Things (2016)
tt6522758,Wisdom of the Crowd,"Crime,Drama,Thriller",2969,6.6,2017,Wisdom of the Crowd (2017)
tt6524350,Big Mouth,"Animation,Comedy,Romance",56699,8,2017,Big Mouth (2017)
tt6536562,The Last Emperor: Abdul Hamid II,"Action,Drama,History",8451,5.1,2017,The Last Emperor: Abdul Hamid II (2017)
tt6538034,Save Me,"Drama,Mystery",4294,7.7,2018,Save Me (2018)
tt6543986,Sifir Bir,"Action,Crime,Drama",2222,8.2,2016,Sifir Bir (2016)
tt6546758,Schooled,Comedy,2903,6.9,2019,Schooled (2019)
tt6548228,Castle Rock,"Drama,Fantasy,Horror",38187,7.6,2018,Castle Rock (2018)
tt6560040,The Forest,"Crime,Drama",7809,7.3,2017,The Forest (2017)
tt6563112,Clique,"Drama,Thriller",2388,7,2017,Clique (2017)
tt6567314,The Joe Rogan Experience,"Comedy,Talk-Show",3043,8.9,2009,The Joe Rogan Experience (2009)
tt6583806,This Country,Comedy,3985,8.5,2017,This Country (2017)
tt6586318,Patrick Melrose,Drama,24270,8.1,2018,Patrick Melrose (2018)
tt6586344,Warrior,"Action,Crime,Drama",1583,6.7,2018,Warrior (2018)
tt6587094,Five Came Back,"Biography,Documentary,History",3884,8.3,2017,Five Came Back (2017)
tt6596634,The Royal House of Windsor,History,1154,7.4,2017,The Royal House of Windsor (2017)
tt6599482,The Romanoffs,Drama,4925,7,2018,The Romanoffs (2018)
tt6600720,Hitler's Circle of Evil,"Biography,Documentary,History",3047,8,2018,Hitler's Circle of Evil (2018)
tt6601082,Rise of the Teenage Mutant Ninja Turtles,"Action,Adventure,Animation",2539,5.3,2018,Rise of the Teenage Mutant Ninja Turtles (2018)
tt6609270,Dorehami,"Comedy,Talk-Show",1521,6.6,2016,Dorehami (2016)
tt6611916,Kingdom,"Action,Drama,Horror",29413,8.4,2019,Kingdom (2019)
tt6616260,Karppi,"Crime,Drama,Mystery",6212,7.2,2018,Karppi (2018)
tt6620620,GameFace,Comedy,1431,7.8,2017,GameFace (2017)
tt6623682,Rebecka Martinsson,"Crime,Drama,Mystery",2017,7.2,2017,Rebecka Martinsson (2017)
tt6625730,Patria,Drama,3321,8.2,2020,Patria (2020)
tt6632666,Project Blue Book,"Drama,Mystery,Sci-Fi",9949,7.6,2019,Project Blue Book (2019)
tt6636246,Ackley Bridge,"Drama,Romance",1136,7.2,2017,Ackley Bridge (2017)
tt6643540,The Disappearance,"Drama,Mystery",1233,7.1,2017,The Disappearance (2017)
tt6656238,The Rain,"Drama,Sci-Fi,Thriller",30523,6.3,2018,The Rain (2018)
tt6658720,Keeping Faith,"Drama,Mystery,Thriller",3410,7.1,2017,Keeping Faith (2017)
tt6660498,Devilman: Crybaby,"Action,Animation,Fantasy",12582,7.6,2018,Devilman: Crybaby (2018)
tt6682754,Jean-Claude Van Johnson,"Action,Comedy,Drama",8060,7.6,2016,Jean-Claude Van Johnson (2016)
tt6686450,"1,000,000 yen no Onnatachi","Comedy,Drama,Mystery",1480,7.7,2017,"1,000,000 yen no Onnatachi (2017)"
tt6692188,El Chapo,"Crime,Drama",14766,7.8,2017,El Chapo (2017)
tt6708260,Trust Me,"Drama,Thriller",2305,7,2017,Trust Me (2017)
tt6710454,Twin,"Crime,Drama,Thriller",1179,7.2,2019,Twin (2019)
tt6712390,Requiem,"Drama,Fantasy,Mystery",5356,6.5,2018,Requiem (2018)
tt6712476,Bancroft,"Crime,Drama,Mystery",2537,6.7,2017,Bancroft (2017)
tt6720154,Suspicious Partner,"Comedy,Crime,Romance",2887,7.9,2017,Suspicious Partner (2017)
tt6724368,Fi,"Drama,Romance",9034,7.9,2017,Fi (2017)
tt6725158,Fanny and Alexander,Drama,2855,9.1,1983,Fanny and Alexander (1983)
tt6729080,Collateral,"Crime,Drama,Mystery",13522,6.8,2018,Collateral (2018)
tt6734482,The Loch,"Crime,Drama,Mystery",3998,6.9,2017,The Loch (2017)
tt6740146,Morocco: Love in Times of War,"Drama,War",2452,7.7,2017,Morocco: Love in Times of War (2017)
tt6756704,Mrs. Fazilet and Her Daughters,Drama,1844,6.7,2017,Mrs. Fazilet and Her Daughters (2017)
tt6758316,Formula 1,Sport,2161,9.4,1950,Formula 1 (1950)
tt6762348,Velvet Colección,"Comedy,Drama,Romance",1089,7.2,2017,Velvet Colección (2017)
tt6763664,The Haunting of Hill House,"Drama,Horror,Mystery",180758,8.6,2018,The Haunting of Hill House (2018)
tt6768146,Rellik,"Crime,Drama,Mystery",2262,6.3,2017,Rellik (2017)
tt6769208,Blue Planet II,Documentary,33076,9.3,2017,Blue Planet II (2017)
tt6772826,Life of Kylie,Reality-TV,1036,3.6,2017,Life of Kylie (2017)
tt6779076,Star Wars: Forces of Destiny,"Adventure,Animation,Family",1520,4.9,2017,Star Wars: Forces of Destiny (2017)
tt6782014,Mystery Science Theater 3000: The Return,"Comedy,Drama,Horror",3256,8,2017,Mystery Science Theater 3000: The Return (2017)
tt6792200,The Keepers,"Crime,Documentary",18246,8.1,2017,The Keepers (2017)
tt6794990,Absentia,"Crime,Drama,Mystery",12352,7.3,2017,Absentia (2017)
tt6800294,Arctic Circle,"Crime,Drama,Thriller",1103,7,2018,Arctic Circle (2018)
tt6807442,The President Show,"Comedy,Talk-Show",1421,5.6,2017,The President Show (2017)
tt6807662,The New Legends of Monkey,"Action,Adventure,Comedy",3526,6.5,2018,The New Legends of Monkey (2018)
tt6811236,Perfume,"Drama,Thriller",7073,7.1,2018,Perfume (2018)
